name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
Input_1080p_image_003#out1#mnr_input0007,23,24,72.07,970.23,714.21,57,4,0,3.13,21.24,14.73,81.99,19.23,117.13,6.92,3.76,23.71,0.0,6.92,60.35,0.0,0.46,6.96,13.33,1.19,7.4,12.21,1.83,7.4,0.94,0.24,0.09,0.1,0.09,0.97,0.24,0.0,0.09,0.03,0.05,0.29,0.23,0.0,0.1,0.04,0.06,0.29,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_003#out1#mnr_input0007,24,24,11.79,24.7,22.63,64,0,0,2.71,9.89,14.39,45.0,16.67,45.0,4.66,3.81,13.14,0.0,4.66,13.0,0.0,0.18,7.52,11.0,2.9,8.95,15.1,4.76,8.95,0.84,0.26,0.13,0.15,0.11,0.74,0.24,0.0,0.11,0.0,0.06,0.46,0.26,0.0,0.15,0.0,0.07,0.62,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_003#out1#mnr_input0007,25,24,20.3,46.89,40.83,64,0,0,3.29,11.41,18.9,66.35,21.51,66.35,5.66,5.66,18.5,0.0,4.9,16.5,0.0,0.13,11.24,19.31,2.65,9.97,18.57,2.59,11.24,0.89,0.29,0.14,0.17,0.12,0.7,0.29,0.0,0.17,0.0,0.12,0.62,0.29,0.0,0.12,0.0,0.1,0.42,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_003#out1#mnr_input0007,26,24,138.8,884.54,775.36,48,10,0,4.49,17.34,18.94,60.8,28.35,113.42,7.77,5.61,26.85,0.0,7.77,48.71,0.0,0.28,6.86,12.71,2.82,11.78,19.42,3.06,11.78,0.58,0.37,0.14,0.19,0.08,0.43,0.25,0.0,0.08,0.11,0.04,0.08,0.37,0.0,0.19,0.24,0.13,0.21,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_003#out1#mnr_input0007,27,24,59.95,825.14,641.35,57,3,0,2.27,21.25,8.28,82.72,13.7,108.77,5.73,2.21,27.0,0.0,5.73,59.14,0.0,0.61,3.29,8.87,1.83,4.36,8.87,2.06,4.36,0.76,0.18,0.02,0.03,0.02,0.62,0.13,0.0,0.02,0.03,0.01,0.0,0.18,0.0,0.03,0.03,0.01,0.04,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_003#out1#mnr_input0007,28,24,112.2,703.53,561.13,44,3,0,3.52,19.03,12.26,68.27,25.25,101.85,6.35,5.57,35.36,0.0,6.35,41.22,0.0,0.12,4.83,13.15,1.67,8.68,13.99,3.95,8.68,0.56,0.37,0.12,0.14,0.11,0.77,0.37,0.0,0.11,0.22,0.02,0.0,0.31,0.01,0.14,0.23,0.07,0.04,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_003#out1#mnr_input0007,29,24,160.42,1021.37,956.5,49,9,0,4.58,17.42,18.57,72.43,32.83,138.78,8.87,8.87,42.93,0.0,8.55,43.57,0.0,0.04,9.59,14.72,5.03,9.5,19.68,4.82,9.59,0.99,0.49,0.18,0.19,0.18,0.94,0.49,0.0,0.18,0.23,0.08,0.21,0.48,0.01,0.19,0.24,0.08,0.25,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_003#out1#mnr_input0007,30,24,13.99,43.82,42.56,64,0,0,2.27,11.67,9.9,45.42,14.74,45.42,3.78,3.78,15.86,0.0,3.54,13.57,0.0,0.06,6.21,8.67,3.74,4.8,7.8,2.46,6.21,0.77,0.22,0.06,0.09,0.04,0.45,0.22,0.0,0.09,0.0,0.03,0.38,0.14,0.0,0.04,0.0,0.01,0.17,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_003#out1#mnr_input0007,31,24,86.48,350.76,300.38,41,0,0,4.12,11.58,16.23,52.43,27.81,76.92,7.5,6.04,25.64,0.0,7.5,36.21,0.07,0.2,7.06,12.74,3.7,11.11,16.92,6.09,11.11,0.64,0.31,0.16,0.2,0.12,0.58,0.26,0.0,0.12,0.18,0.04,0.12,0.31,0.1,0.2,0.22,0.11,0.33,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_003#out1#mnr_input0007,32,24,62.01,204.54,176.32,48,0,0,3.23,8.94,15.71,47.15,25.09,69.93,6.44,6.44,20.0,0.08,5.79,23.0,0.0,0.1,8.19,14.14,4.74,7.43,15.83,3.89,8.19,0.91,0.37,0.12,0.13,0.11,0.8,0.28,0.05,0.13,0.17,0.06,0.17,0.37,0.0,0.11,0.13,0.05,0.17,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
