name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
MNR_001#out1#mnr_input0016,83,59,6.3,68.17,45.0,64,0,0,0.63,3.25,2.17,10.71,4.0,25.0,0.98,0.41,2.0,0.0,0.98,8.0,0.0,0.58,0.43,0.69,0.19,1.28,2.05,1.0,1.28,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_001#out1#mnr_input0016,84,59,51.07,94.44,87.94,64,0,0,1.53,4.48,5.08,16.0,19.69,31.01,8.59,1.44,5.0,0.0,8.59,13.0,0.0,0.83,1.73,2.71,1.39,4.95,5.76,3.88,4.95,0.35,0.08,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.07,0.16,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_001#out1#mnr_input0016,85,59,1.86,14.48,10.84,64,0,0,0.59,3.18,2.37,12.21,4.06,12.21,1.39,0.76,4.21,0.0,1.39,7.0,0.0,0.46,1.23,2.44,0.44,1.54,2.6,0.93,1.54,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_001#out1#mnr_input0016,83,60,14.32,85.26,78.94,64,0,0,0.85,3.56,2.94,15.07,8.4,29.07,2.45,1.05,5.0,0.0,2.45,10.0,0.0,0.57,1.45,2.03,0.54,1.74,2.43,1.17,1.74,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_001#out1#mnr_input0016,84,60,45.05,98.39,94.44,64,0,0,1.74,5.38,5.93,20.15,18.34,31.15,8.31,1.53,5.15,0.0,8.31,16.93,1.0,0.82,2.0,2.55,1.24,5.61,6.5,4.52,5.61,0.36,0.11,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.1,0.21,0.01,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_001#out1#mnr_input0016,85,60,1.02,2.31,2.29,64,0,0,0.73,2.21,2.88,8.07,3.9,8.15,1.05,1.0,3.15,0.0,1.05,3.29,0.0,0.04,1.36,2.34,0.65,1.55,2.0,1.0,1.55,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_001#out1#mnr_input0016,83,61,24.33,106.63,97.57,62,0,0,0.98,4.67,4.04,19.0,11.36,32.57,3.68,1.26,5.0,0.0,3.68,14.0,0.0,0.66,1.89,4.33,0.83,2.73,3.83,1.45,2.73,0.69,0.13,0.02,0.03,0.02,0.52,0.13,0.0,0.02,0.0,0.0,0.08,0.05,0.0,0.03,0.07,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_001#out1#mnr_input0016,84,61,39.99,139.22,121.04,59,0,0,1.96,5.08,6.6,17.57,16.18,36.57,7.24,1.52,5.57,0.0,7.24,18.57,0.0,0.79,2.04,4.36,1.0,5.06,7.19,3.52,5.06,0.4,0.12,0.05,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.11,0.23,0.01,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_001#out1#mnr_input0016,85,61,0.77,2.6,2.01,64,0,0,0.57,2.46,2.54,10.36,3.41,10.36,0.89,0.82,2.29,0.0,0.89,3.72,0.0,0.08,1.16,1.81,0.74,1.23,2.38,0.57,1.23,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_001#out1#mnr_input0016,82,68,10.66,60.09,52.69,64,0,0,0.84,2.97,3.29,12.57,7.75,21.21,2.26,1.11,4.0,0.0,2.26,9.0,0.0,0.51,1.61,2.26,0.74,2.37,3.02,1.5,2.37,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_001#out1#mnr_input0016,83,68,44.42,86.67,84.58,64,0,0,1.62,4.38,5.83,16.21,18.21,29.79,7.83,1.59,5.0,0.0,7.83,15.0,0.0,0.8,2.1,3.63,1.07,5.4,7.0,4.33,5.4,0.39,0.1,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.08,0.17,0.01,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_001#out1#mnr_input0016,84,68,0.4,4.48,3.64,64,0,0,0.23,1.42,0.7,6.0,0.71,6.0,0.49,0.06,1.57,0.0,0.49,6.0,0.0,0.87,0.0,0.0,0.0,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
MNR_001#out1#mnr_input0016,85,68,0.2,0.77,0.69,64,0,0,0.21,0.89,0.71,3.0,0.88,3.0,0.25,0.23,2.15,0.0,0.25,1.0,0.0,0.07,0.23,0.69,0.02,0.42,0.5,0.33,0.42,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
