row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
97,98,433.21,354.0,1169.11,1028.99,23,0,10.41,41.05,42.0,164.86,74.8,164.86,21.02,0.26,30.79,17.86,0.58,0.81,0.43,0.54,0.33,0.6,0.81,0.54,0.62,0.47,0.5,0.55,0.33,0.43,0.23,0.25
97,99,740.76,539.46,2330.95,2096.57,35,3,16.51,63.42,64.34,254.29,103.17,254.29,28.82,0.19,40.23,31.46,0.78,0.95,0.6,0.66,0.54,0.81,0.91,0.66,0.74,0.64,0.54,0.95,0.54,0.57,0.47,0.58
98,97,559.0,454.96,2244.0,1474.36,30,1,12.27,44.34,44.36,170.22,78.49,189.25,22.44,0.27,30.88,16.64,0.54,0.83,0.41,0.51,0.32,0.62,0.83,0.51,0.6,0.47,0.37,0.55,0.32,0.5,0.21,0.08
98,98,653.99,405.43,2502.09,2157.25,27,3,13.42,40.15,51.1,168.36,86.89,222.43,23.53,0.15,32.33,29.09,0.9,0.77,0.54,0.57,0.52,0.92,0.72,0.57,0.73,0.5,0.33,0.77,0.52,0.63,0.44,0.42
98,99,468.45,466.58,1004.16,869.55,29,0,12.06,38.77,46.99,160.56,80.58,163.22,22.4,0.21,31.44,18.04,0.57,0.65,0.43,0.52,0.33,0.64,0.65,0.52,0.54,0.48,0.54,0.52,0.33,0.44,0.24,0.25
98,72,785.32,686.63,2038.7,1895.63,39,2,14.51,47.83,53.19,165.57,96.94,186.36,26.98,0.22,36.06,24.67,0.68,0.78,0.52,0.59,0.45,0.78,0.76,0.59,0.71,0.56,0.33,0.78,0.45,0.55,0.36,0.42
98,73,898.54,757.35,3323.44,2734.41,39,10,17.39,63.13,64.13,208.52,102.16,245.22,27.4,0.2,45.42,32.09,0.71,1.0,0.58,0.62,0.54,0.87,1.0,0.62,0.62,0.66,0.58,0.84,0.54,0.62,0.49,0.46
98,74,243.77,120.75,1712.53,1348.93,6,0,7.34,35.57,26.04,134.86,44.52,134.86,14.77,0.33,13.71,11.86,0.86,0.45,0.19,0.19,0.19,0.98,0.45,0.19,0.18,0.17,0.25,0.43,0.19,0.17,0.14,0.33
99,72,1185.11,1026.77,2922.28,2373.38,54,8,19.43,62.6,70.82,232.21,126.76,232.21,35.05,0.11,45.17,40.54,0.9,1.0,0.69,0.7,0.68,0.96,1.0,0.7,0.77,0.66,0.62,0.93,0.68,0.79,0.6,0.54
99,73,563.29,375.86,2430.95,2080.86,24,4,12.42,50.32,44.79,169.65,74.87,198.64,20.16,0.1,26.13,22.71,0.87,0.71,0.42,0.45,0.4,0.89,0.71,0.45,0.52,0.38,0.38,0.68,0.4,0.56,0.32,0.17
99,74,67.99,32.18,287.87,239.87,0,0,3.63,22.68,13.71,82.56,24.17,88.78,7.73,0.36,7.93,6.94,0.88,0.23,0.08,0.1,0.07,0.69,0.23,0.1,0.1,0.06,0.17,0.23,0.07,0.06,0.07,0.08
100,72,916.19,841.98,2664.89,1987.5,44,1,16.36,45.65,60.99,175.8,107.72,184.94,27.35,0.09,35.69,32.18,0.9,0.75,0.61,0.63,0.58,0.91,0.75,0.63,0.71,0.56,0.58,0.7,0.58,0.74,0.49,0.38
100,73,1008.73,941.41,3094.41,2418.02,44,4,17.85,62.55,67.24,238.5,107.45,261.7,30.73,0.25,41.82,29.72,0.71,0.93,0.59,0.63,0.54,0.86,0.93,0.63,0.73,0.66,0.38,0.8,0.54,0.69,0.45,0.38
100,74,248.45,26.31,1127.62,999.42,14,0,5.88,32.13,21.84,117.78,39.59,161.06,10.87,0.21,12.16,12.45,0.98,0.54,0.19,0.2,0.18,0.93,0.54,0.2,0.27,0.14,0.12,0.42,0.18,0.25,0.15,0.08
81,71,5.45,4.89,12.76,11.16,0,0,0.83,2.82,3.23,9.58,7.64,13.7,2.13,0.2,2.13,1.84,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,72,25.82,5.19,116.46,98.41,0,0,2.19,10.83,8.42,36.14,14.47,38.08,4.02,0.35,4.52,4.23,0.94,0.16,0.02,0.03,0.02,0.86,0.05,0.03,0.06,0.0,0.0,0.16,0.02,0.0,0.02,0.08
81,73,53.07,41.37,162.55,151.71,0,0,3.65,19.71,14.16,81.35,23.89,81.35,7.38,0.39,8.72,7.05,0.81,0.33,0.09,0.11,0.07,0.65,0.33,0.11,0.08,0.08,0.25,0.21,0.07,0.03,0.05,0.21
82,71,10.3,2.1,125.83,84.38,0,0,1.36,8.83,5.61,33.85,7.81,33.87,1.64,0.17,2.14,2.13,1.0,0.07,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.0,0.0,0.04
82,72,955.62,713.89,2808.36,2632.85,35,13,13.19,43.86,44.71,155.31,81.78,208.46,26.77,0.48,33.96,15.15,0.45,0.79,0.43,0.59,0.28,0.47,0.79,0.59,0.75,0.53,0.33,0.74,0.28,0.4,0.19,0.17
82,73,157.03,142.19,330.18,323.73,0,0,7.97,27.2,28.53,93.65,46.78,93.65,13.71,0.32,21.75,13.81,0.64,0.42,0.26,0.31,0.21,0.69,0.42,0.31,0.18,0.3,0.58,0.26,0.21,0.09,0.16,0.58
83,71,555.71,13.56,2804.44,2359.29,23,3,9.36,55.93,32.11,191.03,55.86,220.6,16.41,0.39,25.76,10.56,0.41,0.77,0.31,0.44,0.18,0.42,0.77,0.44,0.6,0.38,0.21,0.57,0.18,0.28,0.12,0.08
83,72,157.22,121.81,862.61,654.2,4,0,6.56,17.98,24.37,71.71,41.28,89.65,12.69,0.27,14.15,9.91,0.7,0.29,0.15,0.19,0.11,0.59,0.29,0.19,0.14,0.17,0.38,0.21,0.11,0.11,0.09,0.17
83,73,223.58,197.55,522.67,485.93,1,0,9.51,28.48,33.74,107.14,55.69,107.14,17.39,0.42,28.37,12.16,0.43,0.67,0.3,0.38,0.21,0.54,0.67,0.38,0.34,0.42,0.42,0.34,0.21,0.2,0.13,0.38
90,69,405.23,187.16,2073.31,1720.75,15,1,10.28,37.63,38.0,142.23,62.75,182.85,16.49,0.03,19.01,18.74,0.99,0.82,0.35,0.4,0.3,0.75,0.82,0.4,0.52,0.25,0.38,0.55,0.3,0.34,0.26,0.29
90,70,985.24,820.73,3163.33,2730.2,44,7,18.05,63.82,69.58,225.35,111.45,254.49,28.33,0.08,41.11,36.06,0.88,0.93,0.61,0.64,0.59,0.92,0.93,0.59,0.59,0.58,0.58,0.84,0.64,0.76,0.56,0.5
90,71,936.32,606.83,3279.05,3192.58,37,10,15.92,74.27,58.1,253.07,104.56,260.85,27.57,0.05,30.04,31.77,0.95,0.87,0.6,0.62,0.58,0.94,0.75,0.58,0.76,0.46,0.42,0.87,0.62,0.8,0.49,0.46
91,69,308.07,253.78,1244.19,800.08,9,0,12.11,41.01,42.45,154.36,68.64,154.36,18.52,0.13,24.5,23.53,0.96,0.63,0.39,0.39,0.38,0.98,0.58,0.38,0.35,0.35,0.5,0.63,0.39,0.34,0.34,0.58
91,70,976.34,998.0,2451.56,1989.44,52,2,17.79,58.83,66.96,228.14,116.65,228.14,31.75,0.17,47.72,30.4,0.64,0.93,0.7,0.77,0.63,0.81,0.93,0.77,0.91,0.71,0.54,0.8,0.63,0.81,0.46,0.5
91,71,866.55,811.69,2851.14,2137.37,48,2,17.38,45.98,64.8,163.5,104.88,221.43,27.56,0.06,41.31,32.13,0.78,0.91,0.65,0.69,0.61,0.87,0.91,0.69,0.86,0.66,0.38,0.77,0.61,0.76,0.49,0.46
