row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
105,35,565.77,656.63,1222.18,1155.53,40,0,15.86,61.43,60.52,227.86,81.86,227.86,23.41,0.29,30.26,35.64,0.85,0.9,0.5,0.51,0.49,0.95,0.83,0.49,0.49,0.46,0.54,0.9,0.51,0.48,0.54,0.54
105,36,659.02,826.01,1346.48,1245.46,44,0,17.46,56.73,63.74,198.0,89.82,198.0,28.17,0.46,47.98,21.43,0.45,0.84,0.51,0.61,0.41,0.67,0.84,0.61,0.46,0.67,0.83,0.68,0.41,0.54,0.3,0.29
106,34,346.41,17.0,1708.86,1505.3,20,0,8.65,68.38,34.77,262.0,45.81,262.0,13.59,0.31,24.74,15.92,0.64,0.82,0.3,0.31,0.29,0.94,0.82,0.31,0.18,0.3,0.62,0.67,0.29,0.31,0.2,0.42
106,35,267.24,21.07,1059.51,1028.79,19,0,9.34,51.49,36.85,183.0,50.24,183.0,15.35,0.29,13.47,23.21,0.58,0.59,0.32,0.4,0.24,0.58,0.47,0.24,0.14,0.16,0.58,0.59,0.4,0.44,0.33,0.46
106,36,266.2,19.23,1179.02,1089.76,18,0,8.6,54.17,35.52,206.86,46.66,206.86,13.38,0.12,20.25,16.34,0.81,0.82,0.31,0.32,0.3,0.93,0.82,0.32,0.15,0.27,0.79,0.61,0.3,0.27,0.21,0.54
105,38,712.49,824.42,1834.89,1573.95,44,0,17.4,55.38,61.85,200.14,92.49,205.0,28.12,0.44,53.77,25.99,0.48,0.92,0.58,0.7,0.47,0.67,0.92,0.7,0.58,0.79,0.83,0.71,0.47,0.46,0.38,0.62
105,39,743.07,852.98,1471.43,1349.38,48,0,19.71,60.0,76.52,235.86,104.52,235.86,34.04,0.48,56.49,30.26,0.54,0.85,0.58,0.63,0.54,0.86,0.85,0.63,0.48,0.74,0.75,0.69,0.54,0.57,0.46,0.62
105,40,840.66,756.84,2110.47,1959.16,34,1,20.12,70.0,70.63,255.0,89.39,255.0,24.1,0.13,39.85,47.65,0.84,0.95,0.61,0.62,0.6,0.96,0.85,0.62,0.6,0.63,0.62,0.95,0.6,0.54,0.67,0.58
106,38,306.66,25.22,1415.92,1285.37,17,0,9.0,56.51,34.34,197.43,49.56,197.43,14.33,0.17,22.27,18.95,0.85,0.8,0.31,0.33,0.29,0.88,0.8,0.29,0.18,0.28,0.54,0.47,0.33,0.27,0.25,0.58
106,39,263.64,18.05,1557.49,1303.38,16,0,7.3,37.84,27.17,138.86,43.09,175.14,11.81,0.09,15.69,14.04,0.9,0.77,0.28,0.32,0.24,0.76,0.75,0.24,0.19,0.21,0.42,0.77,0.32,0.33,0.17,0.58
106,40,366.03,20.2,1841.56,1648.09,19,0,11.85,63.9,43.49,196.71,54.07,196.71,15.88,0.24,20.33,28.37,0.72,0.85,0.41,0.49,0.32,0.65,0.85,0.32,0.18,0.28,0.71,0.75,0.49,0.43,0.42,0.75
107,38,0.62,0.0,7.33,5.63,0,0,0.12,1.89,0.33,4.0,0.86,10.0,0.38,0.5,0.35,0.17,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,39,0.09,0.0,2.32,0.95,0,0,0.05,0.89,0.16,2.0,0.22,2.0,0.13,0.88,0.04,0.06,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,40,1.38,0.0,19.14,13.08,0,0,0.24,3.56,0.59,6.0,1.44,16.0,0.61,0.56,0.6,0.25,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,49,3013.13,2061.55,7304.76,7176.87,44,33,21.35,64.57,71.28,226.0,132.38,392.14,37.38,0.38,54.62,27.07,0.5,0.93,0.69,0.79,0.59,0.75,0.93,0.79,0.93,0.89,0.29,0.93,0.59,0.75,0.4,0.54
