row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
55,43,1.59,1.38,4.1,3.87,0,0,0.67,1.89,2.17,6,3.79,6,1.22,0.51,0.86,1.79,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,44,15.63,4.05,114.84,100.14,0,0,1.58,4.89,4.94,16,10.03,34,2.19,0.1,2.36,4.6,0.51,0.07,0.01,0.01,0,0,0,0,0,0,0,0.07,0.01,0,0.01,0.04
55,45,129.49,90.97,338.53,329.13,0,0,3.1,7.05,9.54,21.14,26.96,52.14,12.97,0.91,7.75,1.38,0.18,0.17,0.08,0.15,0,0,0.17,0.15,0.3,0.05,0,0,0,0,0,0
56,43,1.02,0.84,4.17,3.32,0,0,0.52,1.44,1.93,6,3.25,7,0.86,0.07,0.96,1.28,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,44,11.42,3.46,84.11,70.13,0,0,0.92,4.75,3.26,17.57,8.36,29.43,2.23,0.44,2.15,2.14,1,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0
56,45,117.92,95.67,347.85,313,0,0,3.03,9.22,10.2,32.01,29.33,54.72,11.9,0.75,7.11,5.57,0.78,0.26,0.1,0.13,0.07,0.56,0.16,0.13,0.25,0.04,0,0.26,0.07,0,0.03,0.29
57,43,163.65,42.16,1184.34,1140.03,8,0,6.08,33.45,18.47,101.29,25.88,101.29,6.67,0.77,1.97,7.96,0.25,0.16,0.06,0.12,0,0,0,0,0,0,0,0.16,0.12,0.11,0.05,0.25
57,44,183.64,31.86,1570.96,1364.17,8,0,5.76,33.38,17.45,102.36,24.74,108.22,5.4,0.71,2.41,6.64,0.36,0.14,0.03,0.05,0,0,0,0,0,0,0,0.14,0.05,0.07,0.03,0.04
57,45,410.74,142.83,2713.74,2470.6,8,5,7.39,33,23.73,101.22,47.76,139.65,11.66,0.45,7.9,8.95,0.88,0.35,0.16,0.17,0.15,0.85,0.2,0.15,0.28,0.05,0,0.35,0.17,0.2,0.07,0.29
47,37,70.09,15.3,682.1,583.74,4,0,2.27,15.38,7.44,52.21,17.49,75,7.5,0.63,2.65,2.89,0.92,0.06,0.02,0.02,0.01,0.48,0.05,0.02,0.05,0,0,0.06,0.01,0.02,0,0
