row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
35,229,15.21,14.2,58.91,40.58,0,0,1.63,6.9,5.87,26.93,12.65,29.71,3.23,0.17,1.9,3.36,0.56,0.07,0.01,0.01,0.0,0.16,0.01,0.0,0.0,0.0,0.0,0.07,0.01,0.01,0.0,0.04
35,230,15.84,11.11,45.33,42.12,0,0,2.12,10.41,7.32,37.86,13.87,37.86,3.68,0.0,2.31,4.94,0.47,0.17,0.04,0.07,0.01,0.08,0.02,0.01,0.01,0.0,0.0,0.17,0.07,0.0,0.02,0.29
35,231,16.98,11.18,121.09,81.91,0,0,2.23,8.62,7.42,31.85,12.52,35.15,4.27,0.57,5.88,1.49,0.25,0.14,0.03,0.06,0.0,0.0,0.14,0.06,0.03,0.03,0.17,0.0,0.0,0.0,0.0,0.0
36,229,28.81,25.58,72.68,65.2,0,0,2.99,8.52,10.18,30.86,18.07,31.57,5.71,0.38,7.97,2.81,0.35,0.17,0.06,0.1,0.03,0.29,0.17,0.1,0.01,0.05,0.38,0.08,0.03,0.01,0.0,0.12
36,230,11.76,10.83,32.99,27.78,0,0,2.08,5.88,7.69,22.85,13.1,25.43,4.02,0.35,6.14,2.45,0.4,0.23,0.06,0.11,0.01,0.08,0.23,0.11,0.0,0.03,0.5,0.07,0.01,0.0,0.0,0.04
36,231,8.42,7.77,26.72,22.08,0,0,1.76,4.45,5.74,15.57,9.67,17.57,3.29,0.53,4.92,1.32,0.27,0.14,0.03,0.07,0.0,0.0,0.14,0.07,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0
37,229,26.7,22.86,74.34,64.93,0,0,3.51,9.81,13.38,37.0,20.73,37.0,5.94,0.29,9.61,4.82,0.5,0.22,0.1,0.14,0.06,0.43,0.22,0.14,0.01,0.08,0.5,0.13,0.06,0.01,0.01,0.25
37,230,9.03,7.66,25.2,21.44,0,0,2.14,6.55,7.07,22.86,11.31,22.86,3.86,0.48,5.12,1.97,0.38,0.22,0.03,0.06,0.0,0.0,0.22,0.06,0.0,0.02,0.29,0.0,0.0,0.0,0.0,0.0
37,231,23.31,21.48,71.93,62.04,0,0,2.75,8.32,9.57,26.99,17.62,31.93,4.39,0.07,5.84,4.71,0.81,0.15,0.06,0.08,0.04,0.45,0.15,0.08,0.0,0.02,0.38,0.07,0.04,0.0,0.01,0.17
36,222,44.55,41.81,101.65,95.66,0,0,4.8,16.98,17.15,60.28,26.8,63.43,8.42,0.4,14.9,6.09,0.41,0.32,0.14,0.21,0.08,0.36,0.32,0.21,0.03,0.18,0.67,0.21,0.08,0.03,0.04,0.25
36,223,82.29,77.94,230.69,198.03,0,0,5.51,17.9,20.87,78.0,36.09,79.85,9.04,0.08,10.45,14.39,0.73,0.29,0.17,0.2,0.15,0.78,0.21,0.15,0.07,0.1,0.42,0.29,0.2,0.12,0.17,0.42
36,224,62.59,56.83,229.4,156.12,0,0,4.07,13.16,14.15,57.78,25.89,60.07,7.04,0.12,7.43,8.01,0.93,0.27,0.12,0.13,0.11,0.85,0.27,0.13,0.08,0.05,0.38,0.17,0.11,0.03,0.06,0.38
37,222,29.43,28.3,73.32,66.38,0,0,3.28,11.41,11.23,44.57,19.9,44.57,5.29,0.2,8.02,5.28,0.66,0.22,0.08,0.11,0.04,0.36,0.22,0.11,0.01,0.05,0.46,0.1,0.04,0.0,0.01,0.17
