name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,row_diff_mean,row_diff_max,col_diff_mean,col_diff_max,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
05.02.25#out1#mnr_input0012,60,216,12.95,45.51,40.12,64,0,0,1.64,6.22,5.42,23.43,11.47,27.43,2.99,2.99,11.92,0.0,2.57,9.14,0.0,0.14,2.35,4.39,1.21,3.11,4.07,2.26,3.11,0.76,0.13,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.03,0.0,0.0,0.12,2.04,3.42,2.24,3.96,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,61,216,33.07,114.89,103.89,61,0,0,2.54,7.91,8.54,30.06,17.8,38.0,5.08,5.08,16.21,0.0,3.61,13.0,0.0,0.29,6.24,9.57,2.72,3.85,5.93,1.1,6.24,0.62,0.11,0.03,0.04,0.03,0.93,0.11,0.0,0.04,0.05,0.03,0.0,0.08,0.0,0.03,0.02,0.0,0.12,1.66,2.88,4.53,9.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,57,217,94.31,230.91,212.26,39,0,0,6.53,19.83,23.08,76.07,35.02,76.07,11.09,11.09,33.29,0.0,7.08,24.0,0.0,0.36,17.17,22.0,8.36,10.29,14.17,4.67,17.17,0.6,0.35,0.19,0.25,0.14,0.56,0.35,0.1,0.25,0.13,0.22,0.54,0.21,0.07,0.14,0.1,0.1,0.29,3.61,7.12,6.48,11.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,58,217,42.17,107.44,95.31,62,0,0,3.6,10.86,12.74,45.85,22.72,45.85,5.7,5.7,18.07,0.0,5.59,19.14,0.0,0.02,8.6,14.14,4.95,6.54,11.0,3.57,8.6,0.76,0.24,0.1,0.11,0.08,0.79,0.24,0.01,0.11,0.04,0.07,0.33,0.19,0.0,0.08,0.01,0.03,0.33,3.38,7.88,2.51,5.8,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,59,217,36.73,88.66,84.17,64,0,0,3.55,10.33,13.0,40.29,22.16,40.29,6.33,6.33,20.14,0.0,4.81,16.0,0.0,0.24,8.1,10.94,5.59,5.75,11.5,2.09,8.1,0.71,0.2,0.08,0.08,0.07,0.85,0.15,0.0,0.08,0.03,0.06,0.25,0.2,0.0,0.07,0.02,0.03,0.25,0.15,0.29,3.75,7.32,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,60,217,38.68,144.23,105.2,62,0,0,3.1,14.38,10.5,51.15,20.91,51.15,6.05,6.05,20.0,0.0,4.43,14.0,0.0,0.27,6.65,12.69,1.7,5.16,7.93,3.39,6.65,0.78,0.25,0.07,0.1,0.04,0.41,0.25,0.0,0.1,0.06,0.04,0.29,0.1,0.0,0.04,0.04,0.01,0.08,2.88,6.25,3.72,6.21,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,61,217,55.48,128.7,117.44,57,0,0,4.99,14.69,17.87,48.28,28.44,48.28,8.18,8.18,27.29,0.0,6.03,19.0,0.0,0.26,14.28,21.07,4.0,6.23,8.17,3.83,14.28,0.44,0.33,0.15,0.23,0.06,0.28,0.33,0.0,0.23,0.05,0.17,0.75,0.13,0.0,0.06,0.05,0.03,0.17,2.94,6.06,4.69,10.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,57,218,85.95,311.76,225.52,46,0,0,4.95,18.77,17.52,68.64,33.85,68.64,9.48,9.48,22.07,0.0,7.47,24.0,0.0,0.21,13.48,18.78,9.69,6.56,10.33,3.17,13.48,0.49,0.29,0.17,0.22,0.12,0.53,0.29,0.1,0.22,0.1,0.15,0.62,0.2,0.04,0.12,0.16,0.04,0.17,4.36,11.5,5.35,10.21,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,58,218,97.65,229.74,205.17,36,0,0,7.06,20.78,26.31,71.0,41.02,75.0,11.75,11.75,34.0,0.0,8.33,22.0,0.0,0.29,19.79,27.02,13.33,9.5,11.5,6.83,19.79,0.48,0.45,0.22,0.29,0.15,0.53,0.45,0.18,0.29,0.12,0.27,0.71,0.25,0.11,0.15,0.13,0.08,0.33,4.51,10.37,5.46,14.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,59,218,71.32,211.51,187.84,49,0,0,4.38,13.22,17.14,52.14,30.03,62.0,7.9,7.3,21.0,0.0,7.9,25.0,0.0,0.08,10.65,13.28,7.71,7.64,11.53,3.37,10.65,0.72,0.29,0.17,0.2,0.14,0.69,0.29,0.15,0.2,0.07,0.1,0.67,0.27,0.04,0.14,0.14,0.05,0.29,5.14,8.5,2.67,4.8,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
