name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,row_diff_mean,row_diff_max,col_diff_mean,col_diff_max,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
05.02.25#out1#mnr_input0012,34,11,0.17,0.67,0.49,64,0,0,0.22,0.67,0.73,3.0,0.77,3.0,0.38,0.09,2.0,0.0,0.38,1.0,0.0,0.75,0.0,0.0,0.0,0.67,0.67,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,1.0,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,34,11,0.04,0.47,0.28,64,0,0,0.06,0.67,0.23,3.0,0.23,3.0,0.09,0.09,1.0,0.0,0.05,1.0,0.0,0.5,0.06,0.17,0.0,0.13,1.0,0.0,0.13,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.05,0.38,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,34,11,0.07,0.22,0.22,64,0,0,0.1,0.33,0.3,1.0,0.3,1.0,0.13,0.13,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.33,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,34,11,0.05,0.25,0.23,64,0,0,0.08,0.56,0.27,2.0,0.27,2.0,0.11,0.02,1.0,0.0,0.11,1.0,0.0,0.86,0.02,0.17,0.0,0.15,0.17,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.87,0.02,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,34,11,0.07,0.32,0.27,64,0,0,0.1,0.56,0.33,2.0,0.33,2.0,0.14,0.14,1.0,0.0,0.03,1.0,0.0,0.78,0.19,0.33,0.17,0.04,0.17,0.0,0.19,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.25,0.14,0.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,34,11,0.41,1.56,1.15,64,0,0,0.35,1.0,1.12,4.0,1.25,4.0,0.47,0.47,2.0,0.0,0.17,2.0,0.0,0.63,1.1,1.17,0.67,0.17,0.33,0.0,1.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.54,1.75,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,34,11,0.04,0.25,0.23,64,0,0,0.06,0.44,0.19,2.0,0.19,2.0,0.12,0.12,1.0,0.0,0.02,1.0,0.0,0.88,0.02,0.17,0.0,0.02,0.17,0.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.02,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,34,11,0.18,0.32,0.29,64,0,0,0.26,0.56,0.92,2.0,0.92,2.0,0.36,0.36,1.0,0.0,0.11,1.0,0.0,0.7,0.77,0.83,0.33,0.15,0.33,0.0,0.77,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.38,0.39,0.75,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,34,11,0.43,1.28,1.08,64,0,0,0.37,1.22,1.14,4.0,1.39,4.0,0.5,0.5,2.0,0.0,0.17,2.0,0.0,0.66,0.98,1.0,0.83,0.21,0.33,0.17,0.98,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.25,0.57,1.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,35,11,0.05,0.25,0.23,64,0,0,0.08,0.56,0.27,2.0,0.27,2.0,0.11,0.02,1.0,0.0,0.11,1.0,0.0,0.86,0.02,0.17,0.0,0.15,0.17,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.87,0.02,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,35,11,0.07,0.32,0.27,64,0,0,0.1,0.56,0.33,2.0,0.33,2.0,0.14,0.14,1.0,0.0,0.03,1.0,0.0,0.78,0.19,0.33,0.17,0.04,0.17,0.0,0.19,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.25,0.14,0.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,35,11,0.41,1.56,1.15,64,0,0,0.35,1.0,1.12,4.0,1.25,4.0,0.47,0.47,2.0,0.0,0.17,2.0,0.0,0.63,1.1,1.17,0.67,0.17,0.33,0.0,1.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.54,1.75,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,35,11,0.04,0.25,0.23,64,0,0,0.06,0.44,0.19,2.0,0.19,2.0,0.12,0.12,1.0,0.0,0.02,1.0,0.0,0.88,0.02,0.17,0.0,0.02,0.17,0.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.02,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,35,11,0.18,0.32,0.29,64,0,0,0.26,0.56,0.92,2.0,0.92,2.0,0.36,0.36,1.0,0.0,0.11,1.0,0.0,0.7,0.77,0.83,0.33,0.15,0.33,0.0,0.77,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.38,0.39,0.75,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,35,11,0.43,1.28,1.08,64,0,0,0.37,1.22,1.14,4.0,1.39,4.0,0.5,0.5,2.0,0.0,0.17,2.0,0.0,0.66,0.98,1.0,0.83,0.21,0.33,0.17,0.98,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.25,0.57,1.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,35,11,0.1,0.44,0.32,64,0,0,0.14,0.67,0.44,2.0,0.47,2.0,0.25,0.25,1.0,0.0,0.05,1.0,0.0,0.81,0.31,0.5,0.0,0.06,0.17,0.0,0.31,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.14,0.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,35,11,0.37,1.78,1.6,64,0,0,0.26,0.67,0.8,2.0,1.23,4.0,0.37,0.37,1.0,0.0,0.12,1.0,0.0,0.67,0.83,0.83,0.83,0.17,0.17,0.17,0.83,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.43,1.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,35,11,0.33,1.14,0.99,64,0,0,0.3,1.0,0.97,3.0,1.25,4.0,0.5,0.5,2.0,0.0,0.19,1.0,0.0,0.62,0.69,0.83,0.67,0.23,0.33,0.17,0.69,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.3,0.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,36,11,0.04,0.25,0.23,64,0,0,0.06,0.44,0.19,2.0,0.19,2.0,0.12,0.12,1.0,0.0,0.02,1.0,0.0,0.88,0.02,0.17,0.0,0.02,0.17,0.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.02,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,36,11,0.18,0.32,0.29,64,0,0,0.26,0.56,0.92,2.0,0.92,2.0,0.36,0.36,1.0,0.0,0.11,1.0,0.0,0.7,0.77,0.83,0.33,0.15,0.33,0.0,0.77,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.38,0.39,0.75,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,36,11,0.43,1.28,1.08,64,0,0,0.37,1.22,1.14,4.0,1.39,4.0,0.5,0.5,2.0,0.0,0.17,2.0,0.0,0.66,0.98,1.0,0.83,0.21,0.33,0.17,0.98,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.25,0.57,1.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,36,11,0.1,0.44,0.32,64,0,0,0.14,0.67,0.44,2.0,0.47,2.0,0.25,0.25,1.0,0.0,0.05,1.0,0.0,0.81,0.31,0.5,0.0,0.06,0.17,0.0,0.31,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.14,0.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,36,11,0.37,1.78,1.6,64,0,0,0.26,0.67,0.8,2.0,1.23,4.0,0.37,0.37,1.0,0.0,0.12,1.0,0.0,0.67,0.83,0.83,0.83,0.17,0.17,0.17,0.83,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.43,1.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,36,11,0.33,1.14,0.99,64,0,0,0.3,1.0,0.97,3.0,1.25,4.0,0.5,0.5,2.0,0.0,0.19,1.0,0.0,0.62,0.69,0.83,0.67,0.23,0.33,0.17,0.69,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.3,0.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,36,11,0.39,3.11,2.19,64,0,0,0.34,1.33,1.06,5.0,1.25,6.0,0.64,0.64,4.0,0.0,0.11,1.0,0.0,0.83,0.77,0.83,0.5,0.15,0.33,0.0,0.77,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.62,0.43,1.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,36,11,0.26,0.99,0.81,64,0,0,0.23,0.67,0.69,2.0,1.03,3.0,0.36,0.36,1.0,0.0,0.09,1.0,0.0,0.74,0.79,0.83,0.5,0.12,0.17,0.0,0.79,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.75,0.41,1.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,36,11,0.38,0.91,0.89,64,0,0,0.34,0.89,1.09,3.0,1.25,4.0,0.52,0.52,2.0,0.0,0.12,1.0,0.0,0.76,0.94,1.0,0.5,0.1,0.17,0.0,0.94,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.63,0.45,1.87,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
