name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
Input_1080p_image_004#out1#mnr_input0008,71,10,3375.04,4614.76,4428.78,0,64,64,47.07,84.55,145.75,266.0,202.63,281.28,85.44,15.35,49.45,0.0,85.44,154.06,2.06,0.82,7.7,9.76,3.92,143.85,163.98,112.91,143.85,0.05,1.0,0.66,0.98,0.34,0.34,0.47,0.15,0.34,0.71,0.05,0.0,1.0,0.93,0.98,1.0,1.0,0.92,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_004#out1#mnr_input0008,72,10,2907.83,4263.83,4190.49,0,64,51,40.26,85.75,129.98,275.26,185.22,275.26,74.93,19.67,60.88,0.22,74.93,149.95,1.02,0.74,13.0,27.53,5.95,128.83,165.73,53.25,128.83,0.1,1.0,0.66,0.96,0.37,0.38,0.54,0.03,0.37,0.69,0.15,0.04,1.0,0.74,0.96,0.96,0.98,0.92,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_004#out1#mnr_input0008,73,10,2050.32,4154.95,3895.3,0,63,33,33.38,79.12,113.0,291.9,154.5,291.9,57.84,19.8,69.1,0.14,57.84,140.78,0.06,0.66,21.53,30.39,8.82,91.18,130.81,40.28,91.18,0.24,1.0,0.64,0.82,0.46,0.56,0.61,0.14,0.46,0.69,0.3,0.21,1.0,0.49,0.82,0.8,0.92,0.67,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_004#out1#mnr_input0008,74,10,1281.93,3768.4,3428.82,0,59,12,24.35,84.13,93.21,289.66,136.54,298.29,42.88,27.63,89.74,0.08,42.88,149.73,0.08,0.36,35.72,48.59,19.0,60.71,106.9,31.48,60.71,0.59,0.93,0.68,0.75,0.61,0.82,0.78,0.39,0.61,0.78,0.56,0.33,0.93,0.49,0.75,0.76,0.84,0.58,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_004#out1#mnr_input0008,75,10,1079.22,2349.97,2150.49,0,59,5,22.28,58.31,93.04,243.58,131.78,243.58,35.69,30.01,92.21,0.14,35.69,106.14,1.29,0.16,44.76,65.58,34.31,57.45,70.42,41.93,57.45,0.78,0.87,0.69,0.72,0.66,0.92,0.83,0.47,0.66,0.72,0.71,0.46,0.87,0.52,0.72,0.64,0.88,0.62,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_004#out1#mnr_input0008,76,10,520.74,1234.97,1131.08,0,26,0,15.02,44.14,65.86,196.53,86.68,216.11,22.06,21.46,79.8,0.0,22.06,75.87,0.0,0.03,35.34,65.12,19.43,33.6,48.38,22.35,35.34,0.95,0.82,0.51,0.54,0.48,0.88,0.82,0.38,0.54,0.46,0.53,0.75,0.63,0.35,0.48,0.45,0.52,0.46,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_004#out1#mnr_input0008,77,10,714.69,3407.39,2234.28,0,51,3,17.19,36.33,73.42,173.22,104.36,233.4,29.26,22.01,57.43,0.07,29.26,79.91,0.0,0.25,29.37,40.78,17.53,45.34,55.29,34.87,45.34,0.65,0.7,0.5,0.56,0.43,0.77,0.54,0.36,0.43,0.49,0.44,0.29,0.7,0.42,0.56,0.48,0.73,0.46,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_004#out1#mnr_input0008,81,10,742.79,2961.89,2100.76,0,50,3,18.29,54.19,68.54,219.1,103.01,219.1,32.26,32.26,115.28,0.07,23.38,66.44,0.0,0.28,40.03,57.45,23.36,32.37,40.65,20.79,40.03,0.81,0.71,0.53,0.55,0.51,0.92,0.71,0.36,0.55,0.53,0.64,0.46,0.56,0.41,0.51,0.48,0.5,0.58,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_004#out1#mnr_input0008,82,10,702.82,1191.31,1098.11,0,54,0,18.95,40.29,60.59,180.66,86.04,180.66,33.03,33.03,69.29,0.21,9.38,65.73,0.0,0.72,59.43,69.73,48.2,11.81,27.92,3.45,59.43,0.2,0.75,0.44,0.71,0.17,0.24,0.75,0.69,0.71,0.54,0.95,0.71,0.35,0.0,0.17,0.24,0.13,0.08,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_004#out1#mnr_input0008,83,10,757.95,1272.65,1126.41,0,55,0,19.77,41.79,60.43,134.37,84.88,134.37,37.61,37.61,78.65,0.14,5.73,20.14,0.0,0.85,55.33,59.86,50.57,6.06,11.09,2.24,55.33,0.11,0.77,0.4,0.71,0.1,0.14,0.77,0.68,0.71,0.54,0.92,0.71,0.24,0.0,0.1,0.17,0.04,0.04,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_004#out1#mnr_input0008,84,10,960.52,1621.13,1563.85,1,59,0,23.07,53.23,79.27,236.46,107.63,236.46,39.48,39.48,104.93,0.35,14.43,95.51,0.01,0.63,62.66,77.39,36.44,25.71,61.81,3.45,62.66,0.41,0.87,0.58,0.77,0.4,0.52,0.87,0.57,0.77,0.64,0.94,0.75,0.87,0.11,0.4,0.45,0.38,0.33,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_004#out1#mnr_input0008,85,10,761.77,1303.87,1250.09,0,57,0,20.05,46.22,63.18,147.65,86.11,147.65,38.64,38.64,79.57,0.0,5.87,21.65,0.0,0.85,60.28,73.29,49.17,5.84,12.96,1.22,60.28,0.1,0.77,0.4,0.69,0.1,0.15,0.77,0.62,0.69,0.52,0.91,0.67,0.29,0.0,0.1,0.18,0.03,0.04,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_004#out1#mnr_input0008,86,10,431.02,791.55,759.09,1,29,0,13.15,37.38,58.91,174.44,77.55,174.44,20.97,18.05,58.93,0.07,20.97,63.94,0.07,0.14,24.92,35.36,16.06,35.87,42.53,11.05,35.87,0.69,0.57,0.42,0.48,0.36,0.76,0.47,0.25,0.36,0.38,0.36,0.33,0.57,0.19,0.48,0.38,0.56,0.54,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
Input_1080p_image_004#out1#mnr_input0008,71,11,3128.37,4407.85,4235.28,0,64,60,45.09,81.16,138.87,257.14,188.85,258.13,79.99,13.49,42.35,0.14,79.99,148.13,3.51,0.83,9.43,20.75,6.02,132.5,141.48,126.04,132.5,0.07,1.0,0.63,0.96,0.3,0.31,0.5,0.12,0.3,0.61,0.08,0.0,1.0,0.93,0.96,1.0,1.0,0.79,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
