name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
003_1#out1#mnr_input0007,40,86,102.58,795.63,627.83,52,5,0,3.16,13.31,10.06,48.63,25.8,100.76,7.86,7.86,33.25,0.28,4.52,22.93,0.0,0.42,5.91,11.49,1.31,3.0,6.29,1.12,5.91,0.51,0.42,0.09,0.14,0.05,0.34,0.42,0.0,0.14,0.19,0.04,0.21,0.24,0.0,0.05,0.1,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,41,86,205.21,1093.98,962.84,42,10,0,4.56,17.27,14.95,69.25,35.1,111.55,12.09,12.09,41.82,0.01,4.58,21.0,0.0,0.62,10.69,13.99,8.33,2.64,5.17,0.91,10.69,0.25,0.46,0.18,0.31,0.05,0.17,0.46,0.07,0.31,0.5,0.1,0.25,0.24,0.0,0.05,0.11,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,42,86,184.42,1074.79,899.22,44,11,0,4.9,25.19,15.84,100.97,35.23,121.44,10.82,10.82,48.09,0.2,5.84,24.65,0.0,0.46,11.59,13.39,10.16,3.19,6.22,1.33,11.59,0.28,0.41,0.18,0.3,0.06,0.2,0.41,0.19,0.3,0.41,0.12,0.38,0.29,0.0,0.06,0.13,0.0,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,43,86,193.74,880.08,743.24,36,11,0,4.1,17.45,14.6,89.46,36.97,113.15,9.15,9.14,33.81,0.28,9.15,63.11,0.0,0.0,6.31,11.8,1.76,6.96,10.59,2.67,6.96,0.91,0.4,0.17,0.19,0.15,0.83,0.4,0.0,0.19,0.38,0.04,0.0,0.33,0.0,0.15,0.26,0.04,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,44,86,186.78,1074.6,904.7,43,12,0,4.21,18.06,14.3,69.3,32.47,128.14,8.59,8.59,47.03,0.01,7.68,38.06,0.0,0.1,8.25,16.59,1.63,5.43,14.01,1.51,8.25,0.66,0.43,0.19,0.23,0.15,0.66,0.43,0.0,0.23,0.4,0.07,0.12,0.43,0.0,0.15,0.31,0.04,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,83,86,622.44,1428.13,1395.19,16,37,0,11.07,27.8,36.3,92.0,63.46,154.25,16.81,15.01,60.45,0.22,16.81,82.85,0.0,0.11,12.68,25.08,4.64,18.56,29.13,13.38,18.56,0.68,0.51,0.32,0.37,0.26,0.7,0.51,0.03,0.26,0.45,0.14,0.04,0.47,0.27,0.37,0.58,0.25,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,84,86,105.35,580.09,500.3,46,3,0,4.41,15.53,15.98,54.53,27.75,103.02,7.72,5.39,32.93,0.0,7.72,38.01,0.0,0.3,6.43,13.78,1.92,10.12,16.81,5.4,10.12,0.63,0.47,0.14,0.2,0.07,0.37,0.23,0.0,0.07,0.08,0.04,0.12,0.47,0.02,0.2,0.19,0.09,0.42,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,109,86,511.55,1742.19,1548.02,23,29,0,9.46,26.99,31.56,115.41,56.21,143.04,19.48,19.48,79.13,0.21,9.97,63.91,0.0,0.49,19.39,24.03,11.34,7.93,15.63,2.08,19.39,0.41,0.43,0.28,0.38,0.18,0.48,0.43,0.31,0.38,0.64,0.26,0.0,0.35,0.0,0.18,0.35,0.06,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,110,86,273.89,1070.24,1041.52,36,17,0,6.04,29.35,21.07,99.42,38.95,119.53,13.1,6.08,42.68,0.0,13.1,66.91,0.0,0.54,9.67,26.66,3.25,17.53,20.93,7.21,17.53,0.55,0.49,0.27,0.39,0.16,0.4,0.44,0.0,0.16,0.09,0.09,0.42,0.49,0.22,0.39,0.55,0.23,0.29,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,111,86,436.94,1401.36,1236.73,24,26,0,10.28,27.11,39.94,117.41,63.52,155.33,19.4,13.01,50.88,0.06,19.4,78.2,0.0,0.33,15.06,24.67,5.73,28.71,45.7,11.05,28.71,0.52,0.68,0.38,0.47,0.3,0.64,0.46,0.07,0.3,0.39,0.18,0.29,0.68,0.18,0.47,0.55,0.43,0.33,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,118,86,818.04,2431.88,2358.32,29,30,10,13.06,47.7,47.52,209.89,69.43,235.49,20.54,12.75,106.32,0.0,20.54,106.5,0.0,0.38,19.68,60.01,1.57,36.52,53.07,19.76,36.52,0.54,0.92,0.49,0.68,0.31,0.45,0.79,0.0,0.31,0.39,0.27,0.17,0.92,0.47,0.68,0.92,0.57,0.33,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,119,86,822.23,2931.68,2753.79,31,27,14,11.51,45.8,43.16,173.86,66.8,216.66,20.28,20.28,121.47,0.0,12.93,91.85,0.0,0.36,34.07,48.33,19.81,12.34,20.33,2.12,34.07,0.36,0.85,0.49,0.69,0.28,0.41,0.85,0.54,0.69,1.0,0.53,0.29,0.56,0.0,0.28,0.46,0.14,0.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,120,86,491.65,3158.49,2792.01,42,16,5,7.72,42.3,29.8,145.39,49.58,214.45,15.36,9.69,58.19,0.09,15.36,120.49,0.0,0.37,10.3,20.27,5.94,21.87,49.63,4.5,21.87,0.47,0.77,0.3,0.4,0.21,0.52,0.48,0.03,0.21,0.26,0.1,0.29,0.77,0.0,0.4,0.54,0.31,0.25,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,121,86,1234.78,3239.32,2976.68,13,41,18,15.76,50.58,54.76,207.9,93.12,236.03,28.95,28.95,105.26,0.13,17.09,94.07,0.0,0.41,42.08,62.25,24.8,19.64,42.55,1.88,42.08,0.47,0.82,0.53,0.69,0.38,0.54,0.8,0.58,0.69,1.0,0.67,0.04,0.82,0.0,0.38,0.53,0.27,0.21,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,122,86,438.39,2697.83,2474.84,45,16,5,6.52,44.88,24.06,159.75,39.69,218.03,14.57,8.14,72.19,0.0,14.57,114.75,0.0,0.44,8.57,30.15,2.23,16.4,41.01,2.33,16.4,0.52,0.75,0.26,0.35,0.17,0.49,0.61,0.0,0.17,0.28,0.09,0.08,0.75,0.0,0.35,0.5,0.21,0.25,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,13,87,266.6,1772.96,1658.92,46,12,0,4.31,41.74,13.92,144.64,31.26,145.56,9.22,3.8,22.57,0.0,9.22,63.0,0.0,0.59,1.65,4.62,0.66,8.43,13.11,5.14,8.43,0.2,0.57,0.17,0.27,0.08,0.28,0.44,0.0,0.08,0.17,0.0,0.0,0.57,0.07,0.27,0.43,0.06,0.29,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,14,87,702.5,2158.72,1862.03,12,32,1,10.61,27.22,34.89,96.81,75.32,167.35,25.48,25.48,73.37,0.16,15.47,72.77,0.0,0.39,22.83,33.92,15.43,8.24,13.97,1.14,22.83,0.36,0.77,0.42,0.59,0.26,0.45,0.77,0.5,0.59,0.99,0.32,0.12,0.48,0.0,0.26,0.54,0.07,0.0,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
003_1#out1#mnr_input0007,15,87,727.27,1878.23,1733.06,9,37,0,9.0,33.3,30.06,120.52,80.91,167.39,21.1,21.1,80.09,0.57,18.95,60.0,0.0,0.1,12.7,15.45,9.69,18.45,28.55,7.69,18.45,0.69,0.67,0.41,0.42,0.39,0.93,0.51,0.17,0.42,0.83,0.14,0.0,0.67,0.07,0.39,0.65,0.24,0.08,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
